UDFString1,Street_address,CITY,state,zipcode,country,test,store_nbr
1365498,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1365548,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1240158,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1240162,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1242992,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1243042,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1244921,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1244940,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1245080,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1245203,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1245908,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1246084,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1246365,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1246366,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1247067,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1247213,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1247580,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1247907,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248250,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248354,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248360,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248404,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248547,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248601,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1248845,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1249894,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1250617,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1251058,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1251244,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1251283,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1251453,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1251477,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1252462,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1252855,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
